id,options,times,pointX,pointY,username
15901,slide,1572936859459,693,429,92
15902,slide,1572936859477,702,422,92
15903,slide,1572936859488,707,419,92
15904,slide,1572936859504,718,412,92
15905,slide,1572936859520,730,406,92
15906,slide,1572936859537,761,388,92
15907,slide,1572936859553,779,378,92
15908,slide,1572936859570,817,356,92
15909,slide,1572936859587,838,342,92
15910,slide,1572936859604,856,331,92
15911,slide,1572936859620,870,321,92
15912,slide,1572936859637,878,315,92
15913,slide,1572936859654,886,308,92
15914,slide,1572936859671,892,304,92
15915,slide,1572936859688,896,301,92
15916,slide,1572936859704,899,298,92
15917,slide,1572936859721,902,296,92
15918,slide,1572936859737,904,294,92
15919,slide,1572936859753,907,292,92
15920,slide,1572936859771,910,291,92
15921,slide,1572936859787,912,290,92
15922,slide,1572936859805,916,288,92
15923,slide,1572936859820,921,287,92
15924,slide,1572936859837,927,285,92
15925,slide,1572936859855,938,280,92
15926,slide,1572936859871,950,275,92
15927,slide,1572936859887,962,269,92
15928,slide,1572936859904,975,263,92
15929,slide,1572936859921,982,258,92
15930,slide,1572936860132,982,258,92
15931,slide,1572936860140,983,254,92
15932,slide,1572936861447,1206,148,92
15933,slide,1572936864002,1207,147,92
15934,slide,1572936864010,1208,147,92
15935,slide,1572936864021,1208,146,92
15936,slide,1572936864037,1209,146,92
15937,slide,1572936864055,1209,146,92
15938,slide,1572936864071,1207,145,92
15939,slide,1572936864088,1195,141,92
15940,slide,1572936864104,1175,127,92
15941,slide,1572936864120,1173,125,92
15942,slide,1572936864337,1173,125,92
15943,slide,1572936864356,1164,119,92
15944,slide,1572936864371,1160,119,92
15945,slide,1572936864388,1141,119,92
15946,slide,1572936864404,1127,119,92
15947,slide,1572936864422,1118,119,92
15948,slide,1572936864438,1114,118,92
15949,slide,1572936864455,1112,118,92
15950,slide,1572936864471,1112,118,92
15951,slide,1572936864494,1112,118,92
15952,slide,1572936864504,1111,118,92
15953,slide,1572936864521,1111,119,92
15954,slide,1572936864538,1109,119,92
15955,slide,1572936864555,1107,120,92
15956,slide,1572936864571,1105,121,92
15957,slide,1572936864588,1099,122,92
15958,slide,1572936864604,1096,123,92
15959,slide,1572936864622,1089,124,92
15960,slide,1572936864638,1088,124,92
15961,slide,1572936864655,1081,125,92
15962,slide,1572936864674,1071,127,92
15963,slide,1572936864689,1063,128,92
15964,slide,1572936864705,1052,130,92
15965,slide,1572936864721,1040,131,92
15966,slide,1572936864737,1017,132,92
15967,slide,1572936864754,999,132,92
15968,slide,1572936864771,985,131,92
15969,slide,1572936864788,973,130,92
15970,slide,1572936864807,966,130,92
15971,slide,1572936864821,957,130,92
15972,slide,1572936864838,950,130,92
15973,slide,1572936864854,943,131,92
15974,slide,1572936864872,938,132,92
15975,slide,1572936864888,935,132,92
15976,slide,1572936864905,932,133,92
15977,slide,1572936864923,930,134,92
15978,slide,1572936864939,929,134,92
15979,slide,1572936864954,928,135,92
15980,slide,1572936864971,928,135,92
15981,slide,1572936864988,928,136,92
15982,slide,1572936865005,927,137,92
15983,slide,1572936865021,927,139,92
15984,slide,1572936865038,925,142,92
15985,slide,1572936865055,923,144,92
15986,slide,1572936865071,922,147,92
15987,slide,1572936865089,922,148,92
15988,slide,1572936865268,923,148,92
15989,slide,1572936865276,925,143,92
15990,slide,1572936865288,925,142,92
15991,slide,1572936865305,921,143,92
15992,slide,1572936865321,914,144,92
15993,slide,1572936865338,890,145,92
15994,slide,1572936865354,879,146,92
15995,slide,1572936865371,865,146,92
15996,slide,1572936865388,858,147,92
15997,slide,1572936865404,851,147,92
15998,slide,1572936865422,849,147,92
15999,slide,1572936865502,849,147,92
16000,slide,1572936865542,849,147,92
16001,slide,1572936865555,848,147,92
16002,slide,1572936865571,846,147,92
16003,slide,1572936865589,843,147,92
16004,slide,1572936865605,837,147,92
16005,slide,1572936865622,830,147,92
16006,slide,1572936865638,826,147,92
16007,slide,1572936865654,822,146,92
16008,slide,1572936865671,819,146,92
16009,slide,1572936865687,818,146,92
16010,slide,1572936865705,818,146,92
16011,slide,1572936866512,817,147,92
16012,slide,1572936866525,817,147,92
16013,slide,1572936866537,815,149,92
16014,slide,1572936866554,815,151,92
16015,slide,1572936866571,815,154,92
16016,slide,1572936866589,815,157,92
16017,slide,1572936866605,815,171,92
16018,slide,1572936866622,814,184,92
16019,slide,1572936866640,812,205,92
16020,slide,1572936866655,810,220,92
16021,slide,1572936866672,807,234,92
16022,slide,1572936866687,805,240,92
16023,slide,1572936866704,803,247,92
16024,slide,1572936866721,799,254,92
16025,slide,1572936866737,794,260,92
16026,slide,1572936866754,786,267,92
16027,slide,1572936866772,780,271,92
16028,slide,1572936866788,774,274,92
16029,slide,1572936866805,765,276,92
16030,slide,1572936866821,758,278,92
16031,slide,1572936866838,747,279,92
16032,slide,1572936866855,716,279,92
16033,slide,1572936866872,693,278,92
16034,slide,1572936866887,677,278,92
16035,slide,1572936866905,667,279,92
16036,slide,1572936866922,657,281,92
16037,slide,1572936866938,650,283,92
16038,slide,1572936866955,645,285,92
16039,slide,1572936866971,640,287,92
16040,slide,1572936866988,634,291,92
16041,slide,1572936867004,628,295,92
16042,slide,1572936867021,622,300,92
16043,slide,1572936867038,613,307,92
16044,slide,1572936867055,607,313,92
16045,slide,1572936867078,594,329,92
16046,slide,1572936867089,587,338,92
16047,slide,1572936867106,577,353,92
16048,slide,1572936867121,571,360,92
16049,slide,1572936867138,566,368,92
16050,slide,1572936867155,561,374,92
16051,slide,1572936867172,558,378,92
16052,slide,1572936867188,554,383,92
16053,slide,1572936867205,550,389,92
16054,slide,1572936867221,547,394,92
16055,slide,1572936867238,543,402,92
16056,slide,1572936867254,541,406,92
16057,slide,1572936867272,540,410,92
16058,slide,1572936867288,540,413,92
16059,slide,1572936867305,540,414,92
16060,slide,1572936867321,541,415,92
16061,slide,1572936867338,542,415,92
16062,slide,1572936867354,544,415,92
16063,slide,1572936867372,545,415,92
16064,slide,1572936867388,546,415,92
16065,slide,1572936867405,549,414,92
16066,slide,1572936867422,551,414,92
16067,slide,1572936867438,553,414,92
16068,slide,1572936867455,555,414,92
16069,slide,1572936867471,556,414,92
16070,slide,1572936867488,557,418,92
16071,slide,1572936867504,558,418,92
16072,slide,1572936867871,558,932,92
16073,slide,1572936867943,558,932,92
16074,slide,1572936867956,558,932,92
16075,slide,1572936867972,558,931,92
16076,slide,1572936867988,558,931,92
16077,slide,1572936868039,559,931,92
16078,slide,1572936868457,559,752,92
16079,slide,1572936868472,559,752,92
16080,slide,1572936868522,559,752,92
16081,slide,1572936868542,559,752,92
16082,slide,1572936868589,559,752,92
16083,slide,1572936868605,559,751,92
16084,slide,1572936868672,560,751,92
16085,slide,1572936868688,560,751,92
16086,slide,1572936868856,560,751,92
16087,slide,1572936869152,560,751,92
16088,slide,1572936869160,560,751,92
16089,slide,1572936869172,560,751,92
16090,slide,1572936869188,559,750,92
16091,slide,1572936869205,558,750,92
16092,slide,1572936869222,557,749,92
16093,slide,1572936869238,553,747,92
16094,slide,1572936869254,550,745,92
16095,slide,1572936869271,544,743,92
16096,slide,1572936869289,541,741,92
16097,slide,1572936869305,540,741,92
16098,slide,1572936869410,540,741,92
16099,slide,1572936869422,547,742,92
16100,slide,1572936869438,558,743,92
16101,slide,1572936869455,562,743,92
16102,slide,1572936869480,562,742,92
16103,slide,1572936869488,562,742,92
16104,slide,1572936869504,562,739,92
16105,slide,1572936869522,562,732,92
16106,slide,1572936869537,561,725,92
16107,slide,1572936869555,560,714,92
16108,slide,1572936869572,557,701,92
16109,slide,1572936869588,553,691,92
16110,slide,1572936869605,550,683,92
16111,slide,1572936869621,544,675,92
16112,slide,1572936869638,537,666,92
16113,slide,1572936869655,529,656,92
16114,slide,1572936869672,523,652,92
16115,slide,1572936869688,518,649,92
16116,slide,1572936869705,514,647,92
16117,slide,1572936869722,511,645,92
16118,slide,1572936869738,505,643,92
16119,slide,1572936869754,503,642,92
16120,slide,1572936869771,499,641,92
16121,slide,1572936869789,498,641,92
16122,slide,1572936869805,495,639,92
16123,slide,1572936869822,493,636,92
16124,slide,1572936869838,490,631,92
16125,slide,1572936869855,488,625,92
16126,slide,1572936869871,485,618,92
16127,slide,1572936869888,481,602,92
16128,slide,1572936869905,477,591,92
16129,slide,1572936869922,473,577,92
16130,slide,1572936869937,469,568,92
16131,slide,1572936869955,465,558,92
16132,slide,1572936869972,461,551,92
16133,slide,1572936869988,454,539,92
16134,slide,1572936870004,451,534,92
16135,slide,1572936870022,448,530,92
16136,slide,1572936870037,447,528,92
16137,slide,1572936870054,445,527,92
16138,slide,1572936870072,443,526,92
16139,slide,1572936870088,441,525,92
16140,slide,1572936870105,440,525,92
16141,slide,1572936870121,438,525,92
16142,slide,1572936870137,434,525,92
16143,slide,1572936870155,424,525,92
16144,slide,1572936870172,417,524,92
16145,slide,1572936870188,408,522,92
16146,slide,1572936870205,397,519,92
16147,slide,1572936870222,387,516,92
16148,slide,1572936870237,377,512,92
16149,slide,1572936870254,363,507,92
16150,slide,1572936870272,358,506,92
16151,slide,1572936870289,355,505,92
16152,slide,1572936870305,354,505,92
16153,slide,1572936870322,353,505,92
16154,slide,1572936870402,353,505,92
16155,slide,1572936870410,354,504,92
16156,slide,1572936870422,354,504,92
16157,slide,1572936870438,354,504,92
16158,slide,1572936870455,355,503,92
16159,slide,1572936870472,355,503,92
16160,slide,1572936870487,356,503,92
16161,slide,1572936871849,356,155,92
16162,slide,1572936871857,360,155,92
16163,slide,1572936871872,365,156,92
16164,slide,1572936871890,382,157,92
16165,slide,1572936871906,386,157,92
16166,slide,1572936871922,386,157,92
16167,slide,1572936871940,386,158,92
16168,slide,1572936871955,383,159,92
16169,slide,1572936871972,363,159,92
16170,slide,1572936871991,336,154,92
16171,slide,1572936872008,302,148,92
16172,slide,1572936872022,250,137,92
16173,slide,1572936872041,216,128,92
16174,slide,1572936872057,173,116,92
16175,slide,1572936872073,160,113,92
16176,slide,1572936872090,157,112,92
16177,slide,1572936872106,157,112,92
16178,slide,1572936872187,157,112,92
16179,slide,1572936872193,157,111,92
16180,slide,1572936872206,158,111,92
16181,slide,1572936872223,160,111,92
16182,slide,1572936872239,162,111,92
16183,slide,1572936872256,164,112,92
16184,slide,1572936872272,168,117,92
16185,slide,1572936872289,170,121,92
16186,slide,1572936872305,172,127,92
16187,slide,1572936872322,173,135,92
16188,slide,1572936872695,173,133,92
16189,slide,1572936872705,172,129,92
16190,slide,1572936872723,170,128,92
16191,slide,1572936872740,170,128,92
16192,slide,1572936872835,170,129,92
16193,slide,1572936872843,171,130,92
16194,slide,1572936872856,172,131,92
16195,slide,1572936872873,178,137,92
16196,slide,1572936872890,183,141,92
16197,slide,1572936872906,190,147,92
16198,slide,1572936872922,200,154,92
16199,slide,1572936872939,210,162,92
16200,slide,1572936872956,223,171,92
16201,slide,1572936872973,235,177,92
16202,slide,1572936872989,247,183,92
16203,slide,1572936873006,262,188,92
16204,slide,1572936873022,283,193,92
16205,slide,1572936873039,307,196,92
16206,slide,1572936873057,316,197,92
16207,slide,1572936873072,333,198,92
16208,slide,1572936873090,343,198,92
16209,slide,1572936873106,355,199,92
16210,slide,1572936873122,368,200,92
16211,slide,1572936873139,389,203,92
16212,slide,1572936873157,403,206,92
16213,slide,1572936873172,417,210,92
16214,slide,1572936873189,429,213,92
16215,slide,1572936873205,439,216,92
16216,slide,1572936873223,449,221,92
16217,slide,1572936873239,456,225,92
16218,slide,1572936873255,463,229,92
16219,slide,1572936873272,468,233,92
16220,slide,1572936873289,474,237,92
16221,slide,1572936873306,480,241,92
16222,slide,1572936873322,483,244,92
16223,slide,1572936873339,487,249,92
16224,slide,1572936873356,490,252,92
16225,slide,1572936873373,492,255,92
16226,slide,1572936873389,492,256,92
16227,slide,1572936873406,492,257,92
16228,slide,1572936873423,491,258,92
16229,slide,1572936873458,490,264,92
16230,slide,1572936873473,489,264,92
16231,slide,1572936873490,488,264,92
16232,slide,1572936873507,488,291,92
16233,slide,1572936873705,489,409,92
16234,slide,1572936873724,489,540,92
16235,slide,1572936873740,489,540,92
16236,slide,1572936873757,489,718,92
16237,slide,1572936873773,490,719,92
16238,slide,1572936873788,490,719,92
16239,slide,1572936873806,490,719,92
16240,slide,1572936873822,491,720,92
16241,slide,1572936895273,519,576,92
16242,slide,1572936895290,540,586,92
16243,slide,1572936895307,567,600,92
16244,slide,1572936895325,594,614,92
16245,slide,1572936895341,618,623,92
16246,slide,1572936895357,642,632,92
16247,slide,1572936895374,665,639,92
16248,slide,1572936895391,686,644,92
16249,slide,1572936895408,710,649,92
16250,slide,1572936895424,749,659,92
16251,slide,1572936895440,781,669,92
16252,slide,1572936895456,822,686,92
16253,slide,1572936895473,862,705,92
16254,slide,1572936895490,882,717,92
16255,slide,1572936895508,897,729,92
16256,slide,1572936895524,906,741,92
16257,slide,1572936895541,915,754,92
16258,slide,1572936895557,928,780,92
16259,slide,1572936895574,949,832,92
16260,slide,1572936895591,968,895,92
16261,slide,1572936895608,975,928,92
16262,slide,1572936895624,981,964,92
16263,slide,1572936895634,982,982,92
16264,slide,1572936897409,1304,983,92
16265,slide,1572936897424,1273,957,92
16266,slide,1572936897440,1199,895,92
16267,slide,1572936897462,1186,881,92
16268,slide,1572936897477,1174,868,92
16269,slide,1572936897494,1167,858,92
16270,slide,1572936897512,1165,854,92
16271,slide,1572936897528,1165,852,92
16272,slide,1572936897543,1167,850,92
16273,slide,1572936897562,1176,850,92
16274,slide,1572936897579,1199,855,92
16275,slide,1572936897595,1230,870,92
16276,slide,1572936897608,1267,892,92
16277,slide,1572936897627,1301,917,92
16278,slide,1572936897645,1322,937,92
16279,slide,1572936897661,1330,947,92
16280,slide,1572936897675,1337,961,92
16281,slide,1572936897692,1338,969,92
16282,slide,1572936897708,1338,984,92
16283,slide,1572936899325,1421,997,92
16284,slide,1572936899344,1414,978,92
16285,slide,1572936899359,1397,938,92
16286,slide,1572936899375,1384,912,92
16287,slide,1572936899392,1375,895,92
16288,slide,1572936899409,1368,884,92
16289,slide,1572936899427,1363,876,92
16290,slide,1572936899443,1360,872,92
16291,slide,1572936899458,1360,871,92
16292,slide,1572936899475,1359,871,92
16293,slide,1572936910612,1361,856,92
16294,slide,1572936910626,1364,853,92
16295,slide,1572936910643,1365,849,92
16296,slide,1572936910659,1360,832,92
16297,slide,1572936910677,1353,824,92
16298,slide,1572936910692,1340,813,92
16299,slide,1572936910709,1334,801,92
16300,slide,1572936910726,1330,789,92
16301,slide,1572936910742,1327,779,92
16302,slide,1572936910760,1316,760,92
16303,slide,1572936910775,1310,751,92
16304,slide,1572936910793,1275,714,92
16305,slide,1572936910809,1256,695,92
16306,slide,1572936910826,1237,679,92
16307,slide,1572936910843,1225,669,92
16308,slide,1572936910859,1215,663,92
16309,slide,1572936910876,1206,659,92
16310,slide,1572936910893,1199,655,92
16311,slide,1572936910909,1193,651,92
16312,slide,1572936910925,1187,649,92
16313,slide,1572936910942,1186,649,92
16314,slide,1572936910960,1187,649,92
16315,slide,1572936911230,1191,646,92
16316,slide,1572936911243,1196,642,92
16317,slide,1572936911260,1209,626,92
16318,slide,1572936911275,1213,622,92
16319,slide,1572936911293,1217,615,92
16320,slide,1572936911309,1218,615,92
16321,slide,1572936911480,1217,615,92
16322,slide,1572936911493,1216,615,92
16323,slide,1572936911509,1212,612,92
16324,slide,1572936911525,1201,601,92
16325,slide,1572936911543,1183,567,92
16326,slide,1572936911559,1169,530,92
16327,slide,1572936911576,1161,508,92
16328,slide,1572936911593,1146,485,92
16329,slide,1572936911610,1134,473,92
16330,slide,1572936911626,1128,467,92
16331,slide,1572936911642,1124,463,92
16332,slide,1572936911659,1122,462,92
16333,slide,1572936911676,1122,462,92
16334,slide,1572936911692,1121,462,92
16335,slide,1572936911710,1119,463,92
16336,slide,1572936911726,1115,464,92
16337,slide,1572936911743,1109,465,92
16338,slide,1572936911759,1103,467,92
16339,slide,1572936911775,1096,469,92
16340,slide,1572936911793,1083,471,92
16341,slide,1572936911809,1071,471,92
16342,slide,1572936911826,1060,469,92
16343,slide,1572936911842,1045,462,92
16344,slide,1572936911859,1030,455,92
16345,slide,1572936911876,1017,448,92
16346,slide,1572936911892,1007,440,92
16347,slide,1572936911909,1003,436,92
16348,slide,1572936911925,1001,433,92
16349,slide,1572936911942,991,424,92
16350,slide,1572936911960,983,418,92
16351,slide,1572936911975,977,414,92
16352,slide,1572936911993,969,408,92
16353,slide,1572936912009,963,405,92
16354,slide,1572936912025,959,402,92
16355,slide,1572936912043,957,401,92
16356,slide,1572936912096,957,401,92
16357,slide,1572936912112,956,401,92
16358,slide,1572936912126,955,401,92
16359,slide,1572936912143,952,402,92
16360,slide,1572936912159,942,407,92
16361,slide,1572936912176,926,416,92
16362,slide,1572936912193,923,417,92
16363,slide,1572936912684,923,417,92
16364,slide,1572936912692,922,417,92
16365,slide,1572936912710,921,416,92
16366,slide,1572936912726,921,415,92
16367,slide,1572936912743,919,414,92
16368,slide,1572936912760,917,411,92
16369,slide,1572936912777,915,407,92
16370,slide,1572936912793,913,403,92
16371,slide,1572936912809,911,399,92
16372,slide,1572936912827,908,395,92
16373,slide,1572936912843,906,391,92
16374,slide,1572936912859,901,385,92
16375,slide,1572936912877,898,381,92
16376,slide,1572936912893,895,378,92
16377,slide,1572936912910,892,374,92
16378,slide,1572936912925,891,373,92
16379,slide,1572936912943,890,372,92
16380,slide,1572936913200,890,372,92
16381,slide,1572936913209,890,371,92
16382,slide,1572936913226,889,370,92
16383,slide,1572936913243,888,368,92
16384,slide,1572936913259,886,367,92
16385,slide,1572936913277,885,364,92
16386,slide,1572936913293,881,361,92
16387,slide,1572936913309,880,359,92
16388,slide,1572936913327,879,358,92
16389,slide,1572936913342,879,357,92
16390,slide,1572936913360,878,356,92
16391,slide,1572936913376,878,355,92
16392,slide,1572936913393,878,355,92
16393,slide,1572936913409,878,354,92
16394,slide,1572936913426,878,354,92
16395,slide,1572936913443,878,353,92
16396,slide,1572936913459,878,353,92
16397,slide,1572936913477,878,352,92
16398,slide,1572936913493,878,351,92
16399,slide,1572936913510,878,349,92
16400,slide,1572936913526,877,347,92
16401,slide,1572936913543,875,344,92
16402,slide,1572936913559,873,340,92
16403,slide,1572936913576,870,336,92
16404,slide,1572936913592,868,333,92
16405,slide,1572936913609,867,331,92
16406,slide,1572936913626,866,330,92
16407,slide,1572936913643,866,330,92
16408,slide,1572936913659,866,330,92
16409,click_left,1572936917401,866,330,92
16410,release_left,1572936917506,866,330,92
16411,click_left,1572936917584,866,330,92
16412,release_left,1572936917726,866,330,92
16413,slide,1572936918836,866,332,92
16414,slide,1572936918844,866,333,92
16415,slide,1572936918859,866,333,92
16416,slide,1572936918875,866,335,92
16417,slide,1572936918893,866,335,92
16418,slide,1572936918910,866,336,92
16419,slide,1572936918927,866,336,92
16420,slide,1572936918943,866,337,92
16421,slide,1572936918959,866,337,92
16422,slide,1572936918977,866,339,92
16423,slide,1572936918993,866,340,92
16424,slide,1572936919010,866,342,92
16425,slide,1572936919027,866,343,92
16426,slide,1572936919043,866,345,92
16427,slide,1572936919059,866,347,92
16428,slide,1572936919076,866,348,92
16429,slide,1572936919093,866,350,92
16430,slide,1572936919109,866,352,92
16431,slide,1572936919127,866,357,92
16432,slide,1572936919143,866,361,92
16433,slide,1572936919160,866,366,92
16434,slide,1572936919177,866,371,92
16435,slide,1572936919193,866,379,92
16436,slide,1572936919210,867,387,92
16437,slide,1572936919226,868,400,92
16438,slide,1572936919243,868,408,92
16439,slide,1572936919260,868,418,92
16440,slide,1572936919276,868,429,92
16441,slide,1572936919293,868,437,92
16442,slide,1572936919310,868,450,92
16443,slide,1572936919326,868,460,92
16444,slide,1572936919343,867,468,92
16445,slide,1572936919360,867,484,92
16446,slide,1572936919377,867,496,92
16447,slide,1572936919393,867,510,92
16448,slide,1572936919410,866,522,92
16449,slide,1572936919426,864,536,92
16450,slide,1572936919443,860,557,92
16451,slide,1572936919458,859,572,92
16452,slide,1572936919477,856,600,92
16453,slide,1572936919493,854,611,92
16454,slide,1572936919510,853,621,92
16455,slide,1572936919527,852,626,92
16456,slide,1572936919543,851,631,92
16457,slide,1572936919560,851,634,92
16458,slide,1572936919577,851,636,92
16459,slide,1572936919593,851,638,92
16460,slide,1572936919609,851,639,92
16461,slide,1572936919627,851,650,92
16462,slide,1572936919643,851,657,92
16463,slide,1572936919660,851,665,92
16464,slide,1572936919676,851,675,92
16465,slide,1572936919693,850,680,92
16466,slide,1572936919709,850,689,92
