id,options,times,pointX,pointY,username,fs,Vx,VxIF,VxIE,Vy,VyIF,VyIE,V,VIF,VIE,A,AIF,AIE,J,JIF,JIE,S,SIF,SIE,D,DIF,DIE,Direction,Direction change rate,DVIF,DVIE,cd,cur,currate,currateIF,currateIE
61041,slide,1572944583789 ,697,436,95,18,2.166666667,36.50832835,5.569513611,0.888888889,15.19511046,10.57618073,2.341915434,9.020346339,5.018319079,0.026279026,34.71582794,0.003745612,-0.004120879,44.19961932,1.7328E-05,0.000339478,29.14697542,4.69581E-08,-2.42E-05,37.63138241,1.8758E-10,22.31,0.206854841,48.86816879,0.765685988,0,0.088327203,-0.004285431,31.75768396,0.339675384
61042,slide,1572944583807 ,736,452,95,17,2.529411765,19.03912537,3.446826603,1.235294118,8.689166706,5.485809758,2.814937909,5.394637518,2.84636988,-0.047896795,24.40410903,0.006081797,0.001989721,28.41496128,1.03116E-05,-9.58E-05,19.17568195,3.61724E-08,-6.30E-06,25.07982215,1.52613E-10,26.03,0.031497587,37.02233735,0.780059522,0.016186828,0.011189443,-0.006763188,22.89374533,0.13893182
61043,slide,1572944583824 ,779,473,95,19,1.789473684,8.466594255,3.135952279,0.894736842,5.115118213,5.079148769,2.000692401,3.680617083,2.801937266,-0.01407153,15.5994162,0.004871108,0.00036049,13.51469965,9.42133E-06,-0.00020291,11.11681343,2.69509E-08,3.44E-05,13.40452754,1.21206E-10,26.57,-0.20764138,27.15873611,0.640091713,0.00230571,-0.10378476,0.005462356,22.78567404,0.10320866
61044,slide,1572944583843 ,813,490,95,15,1.6,10.20089694,3.649899939,0.666666667,5.36262187,4.332268578,1.733333333,3.838877193,2.461567879,-0.007222222,15.10178484,0.0056432,-0.003494804,12.56140844,8.88929E-06,0.000450043,11.72438698,3.16171E-08,-4.75E-05,12.26631534,1.45756E-10,22.62,0,32.65917662,1.023524465,0.016613731,0,-0.018883965,30.29090839,0.133500323
61045,slide,1572944583858 ,837,500,95,16,1.5,6.057265622,3.226746856,0.625,4.3435518,3.839375266,1.625,3.311681647,2.429668534,-0.059644286,13.59452931,0.00525371,0.003255837,11.41497467,1.0279E-05,-0.000262791,10.29850971,2.54104E-08,4.55E-05,9.78792044,1.3846E-10,22.62,-0.46029664,34.40147862,2.092230407,0,-0.283259471,0.002759136,30.03857922,0.292833647
61046,slide,1572944583874 ,861,510,95,17,0.647058824,6.448803547,3.835413647,0.176470588,5.143241902,4.052553459,0.670691427,3.410530665,2.384566688,-0.007550899,14.81743774,0.005943579,-0.000948812,13.33907201,1.6218E-05,0.000465991,11.08374662,2.75753E-08,-5.61E-05,9.741701139,1.66958E-10,15.26,-0.160371235,30.66162473,4.634365089,0.027259684,-0.239113292,-0.470606644,31.26312187,0.591824816
61047,slide,1572944583891 ,872,513,95,17,0.529411765,5.437332154,3.742875462,0.117647059,5.788832256,4.327467969,0.542326145,3.23887285,2.421873882,-0.0236807,16.43862395,0.006096851,0.006973039,15.24342898,2.32432E-05,-0.000488375,10.57267907,2.32609E-08,3.70E-05,10.00675375,1.86324E-10,12.53,-4.468456267,25.6902222,7.830017619,0.011764706,-8.239426241,3.798275413,33.16420218,0.868138681
61048,slide,1572944583908 ,881,515,95,16,0.0625,5.884726067,4.6530762,-0.125,7.004908085,4.856581123,0.139754249,4.501771732,2.764734085,0.094860968,18.49629183,0.005269595,-0.001329336,17.75557126,3.05421E-05,0.000140867,10.14087279,2.1298E-08,-5.43E-05,10.28212586,2.12516E-10,-63.43,7.872532325,20.84591664,8.652557804,0.2,56.33125579,-3.523029518,34.38936097,0.992484084
61049,slide,1572944583924 ,882,513,95,17,-0.764705882,5.617105929,4.620769789,-1.470588235,7.349743053,4.345887534,1.657529742,5.904388309,3.284119674,0.073591585,20.41575431,0.005770622,0.000924538,20.42437034,2.41295E-05,-0.000728245,9.74787805,1.96542E-08,0.000108273,10.31464969,2.18663E-10,62.53,-0.061687469,16.81564727,7.139934981,0.058419244,-0.037216508,-0.000715974,33.34173203,0.774637663
61050,slide,1572944583941 ,869,488,95,18,-1.388888889,5.693734945,5.005050919,-2.555555556,8.630062769,4.14264948,2.908586692,7.242503742,3.91491561,0.089308733,20.58388552,0.006969319,-0.011455631,23.74789516,1.10225E-05,0.001112387,8.311120226,1.73875E-08,-1.00E-04,10.02630653,1.97184E-10,61.48,-0.143649457,14.79230926,6.436062202,0.004163454,-0.049388061,-0.002618719,33.34410531,0.304552214
